_id,kid,type,title,content,relatedPictograms[0],relatedPictograms[1],relatedPictograms[2],relatedScenario,reason,generatedBy,__v,createdAt,updatedAt
6a185d5f56e82dc7db3eb404,69f3e8ce8fd7c094eaeb23d0,pictogram,Renforcer les besoins quotidiens,Travailler J'ai soif et J'ai faim dans les routines du matin et du gouter.,69f3ec5f8fd7c094eaeb240b,69f3ec5f8fd7c094eaeb240a,,,Ces pictogrammes sont compris et produisent deja des reussites rapides.,ai,0,2026-05-28T15:21:03.072Z,2026-05-28T15:21:03.072Z
6a185d5f56e82dc7db3eb405,69f3e8ce8fd7c094eaeb23d0,scenario,Routine du matin a poursuivre,Rejouer le scenario Routine du matin 3 fois cette semaine avec guidance reduite.,,,,6a05b445907a25e461d2f482,Sami progresse quand les etapes sont previsibles et contextualisees.,therapist,0,2026-05-28T15:21:03.072Z,2026-05-28T15:21:03.072Z
6a185d5f56e82dc7db3eb406,69f3e8ce8fd7c094eaeb23d0,message,Conseil parent,Laisser 3 secondes avant d'aider pour encourager l'initiative de Sami.,,,,,Le temps d'attente favorise une meilleure autonomie expressive.,system,0,2026-05-28T15:21:03.072Z,2026-05-28T15:21:03.072Z
6a185d5f56e82dc7db3eb407,69f3e8ce8fd7c094eaeb23d0,level,Preparation au niveau suivant,Introduire une phrase de 3 pictogrammes si le score reste au-dessus de 75 cette semaine.,,,,,La progression recente montre une stabilite sur les demandes simples.,ai,0,2026-05-28T15:21:03.072Z,2026-05-28T15:21:03.072Z
6a185d5f56e82dc7db3eb418,69f3e8cf8fd7c094eaeb23d1,scenario,Renforcer les routines sociales,Continuer les scenarios emotions + ecole pour consolider l'expression sociale.,,,,69f3ec5f8fd7c094eaeb2414,Aya progresse quand l'activite est contextualisee par une situation sociale familiere.,therapist,0,2026-05-28T15:21:03.101Z,2026-05-28T15:21:03.101Z
6a185d5f56e82dc7db3eb419,69f3e8cf8fd7c094eaeb23d1,level,Preparer le niveau 3,Ajouter une consigne avec trois pictogrammes quand le score reste au-dessus de 80.,,,,,Les derniers scores montrent une progression stable vers l'autonomie.,ai,0,2026-05-28T15:21:03.101Z,2026-05-28T15:21:03.101Z
6a185d5f56e82dc7db3eb42a,69f3e8cf8fd7c094eaeb23d2,pictogram,Consolider les demandes simples,"Rejouer J'ai faim, J'ai soif et Aide-moi dans un meme support visuel tres simple.",69f3ec5f8fd7c094eaeb240a,69f3ec5f8fd7c094eaeb240b,69f3ec5f8fd7c094eaeb240c,,Ces pictogrammes sont ceux que Nour reconnait le mieux actuellement.,ai,0,2026-05-28T15:21:03.119Z,2026-05-28T15:21:03.119Z
6a185d5f56e82dc7db3eb43b,69f3e8cf8fd7c094eaeb23d3,message,Raccourcir les seances,Faire 2 micro-seances de 5 minutes plutot qu'une longue seance continue.,,,,,Youssef reussit mieux quand l'effort est fragmente.,therapist,0,2026-05-28T15:21:03.131Z,2026-05-28T15:21:03.131Z
6a185d5f56e82dc7db3eb43c,69f3e8cf8fd7c094eaeb23d3,pictogram,Renforcer Pause et Aide-moi,Mettre les pictogrammes Pause et Aide-moi au debut de la grille enfant.,69f3ec5f8fd7c094eaeb240d,69f3ec5f8fd7c094eaeb240c,,,Ces deux pictogrammes soutiennent la regulation de l'enfant.,ai,0,2026-05-28T15:21:03.131Z,2026-05-28T15:21:03.131Z
6a185d5f56e82dc7db3eb44d,69f3e8cf8fd7c094eaeb23d4,scenario,Stabiliser les transitions ecole-maison,Rejouer deux fois par semaine un scenario de transition annoncee avec pictogrammes.,,,,6a05b445907a25e461d2f482,Les transitions restent le principal facteur de stress pour Lina.,therapist,0,2026-05-28T15:21:03.166Z,2026-05-28T15:21:03.166Z
6a185d5f56e82dc7db3eb44e,69f3e8cf8fd7c094eaeb23d4,level,Poursuivre le niveau intermediaire,Maintenir des phrases de 2 a 3 pictogrammes en contexte scolaire.,,,,,Le niveau actuel reste pertinent mais la stabilite progresse.,ai,0,2026-05-28T15:21:03.166Z,2026-05-28T15:21:03.166Z
6a185d5f56e82dc7db3eb45f,69f3e8cf8fd7c094eaeb23d5,level,Preparer des interactions sociales ouvertes,Introduire des tours de role et des reponses a des questions courtes.,,,,,Adam maitrise deja les structures de phrase fonctionnelles longues.,ai,0,2026-05-28T15:21:03.186Z,2026-05-28T15:21:03.186Z
6a185d5f56e82dc7db3eb460,69f3e8cf8fd7c094eaeb23d5,message,Conseil de generalisation,Reprendre les memes structures de phrase a la maison et a l'ecole pour stabiliser les acquis.,,,,,Adam progresse mieux quand la meme structure est reutilisee dans plusieurs contextes.,system,0,2026-05-28T15:21:03.186Z,2026-05-28T15:21:03.186Z
6a186d817008adb93139f82a,69f3e8ce8fd7c094eaeb23d0,pictogram,"Pictogramme: J'ai soif, aide-moi.",scenario - Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,,,,,Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82b,69f3e8ce8fd7c094eaeb23d0,pictogram,Pictogramme: Je ressens,Besoins - Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,,,,,Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82c,69f3e8ce8fd7c094eaeb23d0,scenario,Scenario: Routine courte de 5 minutes,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,,,,,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82d,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,"Commencer par 3 pictogrammes connus, puis ajouter 1 nouveaute.",,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f82e,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,Garder une consigne courte et valider chaque tentative de communication.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f82f,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Observer les categories evitees et les reintroduire dans un moment calme.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f830,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Noter les phrases spontanees pour personnaliser la prochaine seance.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f836,69f3e8ce8fd7c094eaeb23d0,pictogram,"Pictogramme: J'ai soif, aide-moi.",scenario - Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,,,,,Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f837,69f3e8ce8fd7c094eaeb23d0,pictogram,Pictogramme: Je ressens,Besoins - Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,,,,,Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f838,69f3e8ce8fd7c094eaeb23d0,scenario,Scenario: Routine courte de 5 minutes,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,,,,,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f839,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,"Commencer par 3 pictogrammes connus, puis ajouter 1 nouveaute.",,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83a,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,Garder une consigne courte et valider chaque tentative de communication.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83b,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Observer les categories evitees et les reintroduire dans un moment calme.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83c,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Noter les phrases spontanees pour personnaliser la prochaine seance.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
